region,sample,yield,uncertainty
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D1lep_T0_L1_distmWW_J2,data,63073.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,zjets,95.2056872912,7.53785647076
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/B,0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,MC,102.028976621,7.55854086843
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Signal,0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/sqrt(S+B),0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,ttbar,0.202856206813,0.0596799316497
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Bkg,102.028976621,7.55854086843
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,diboson,6.61207305294,1.62649842313
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,SignalExpected,0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,monoSwwallzp1000dm200dh160,0.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,data,96.0,0.0
Region_distmWW_J1_L2_T0_D2lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,VHbb,0.00836007010933,0.00343314875645
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Bkg,589.903738252,22.9314006561
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,MC,591.624915593,23.0171738659
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,ttbar,114.342121789,20.2293583508
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,monoSwwallzp1000dm200dh160,1.72117734137,1.35418959364
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,stop,33.3190473808,6.48449138796
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,Signal,1.72117734137,1.35418959364
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/sqrt(S+B),0.0707623736396,0.0
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,zjets,11.0245022538,4.51783538672
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,S/B,0.00291772577416,0.0
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,wjets,403.576273149,34.7454211081
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,diboson,27.606772312,7.14328916519
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,VHbb,0.0350213675191,0.0129829128098
Region_distmWW_J1_L1_T0_D1lep_Y2015_incJet1_Fat1_incFat1_BMin300_BMax500,SignalExpected,1.72117734137,1.35418959364
