region,sample,yield,uncertainty
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,MC,12172.780375,2151.62888411
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,diboson,500.689365004,168.993561482
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,zjets,11650.046171,1999.31740388
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,ttbar,11.9999566107,19.5481705248
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,stop,2.48116920191,6.32216424634
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,S/B,0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,S/sqrt(S+B),0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,VHbb,1.50172660671,0.605698264933
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,monoSwwallzp1000dm200dh160,0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,SignalExpected,0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,data,11656.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,Signal,0.0,0.0
Region_BMin200_incFat1_Fat0_incJet1_Y2015_D2lep_T0_L2_distmWW_J2,wjets,6.06198655146,10.828509023
