mzp,mdm,ms,obs,exp,exp_p1,exp_m1,type
1000,200,260,0.30577196194978556,1.8011178216851431,0.0,0.0,vv
500,200,360,0.39356176974003504,0.6732250988787383,0.0,0.0,ww
1000,200,160,2.2937265203373576,3.1570861043948795,0.0,0.0,vv
1000,200,185,0.4700641448774188,0.3108215109179512,0.0,0.0,zz
500,200,335,0.2957214829205755,0.17856709692429257,0.0,0.0,zz
1000,200,360,0.24947411413363324,0.8761185665980205,0.0,0.0,ww
1700,200,210,-0.39428011663631257,1.8822630869862518,0.0,0.0,vv
500,200,210,-0.017457848570088287,0.47109570840883985,0.0,0.0,zz
500,200,260,0.37244779372190456,0.2859525326209579,0.0,0.0,zz
500,200,310,0.37684124792861556,0.747785224921283,0.0,0.0,ww
500,200,235,-0.18444582358793646,1.1570619408697196,0.0,0.0,ww
1700,200,235,0.46359596894021343,0.3884744586091682,0.0,0.0,zz
1000,200,210,-0.3218878630763409,2.2999406001705665,0.0,0.0,ww
500,200,235,-0.052029338306098474,1.3697720808530327,0.0,0.0,vv
2100,200,210,-0.3264471952558774,1.0949729472342538,0.0,0.0,ww
1000,200,285,0.12957947442669285,0.33929418072156686,0.0,0.0,zz
1700,200,210,-0.4785093240177095,0.4459801016323649,0.0,0.0,zz
1700,200,360,0.22760216355760823,0.5159956652338712,0.0,0.0,ww
1000,200,335,0.6884579185064931,1.20690758799466,0.0,0.0,vv
1700,200,310,0.5701616915363831,0.9025674978995898,0.0,0.0,vv
